order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
40,urn1,Patricia Chirinos,PC,Renovación Popular,RP,OPCION 4,3785,1,bandeja1,1,0.112685,3.891633,0.076018,-46.87,4.88,47.93,1,OPCION 4,0.5
39,urn1,Segundo Acuña,SA,Honor y Democracia,HyD,INDETERMINADO,3785,2,bandeja1,1,0.048633,4.135905,0.057391,12.01,0.88,-24.73,2,OPCION 2,0.6
38,urn1,Mary Acuña,MA,Alianza para el Progreso,APP,INDETERMINADO,3785,3,bandeja1,1,0.13426,4.033177,0.044616,179.88,0.01,-74.54,3,OPCION 4,0.7
35,urn1,José Williams,JW,Avanza País,AvP,INDETERMINADO,3785,4,bandeja1,1,0.053895,4.060292,0.049914,0.01,-0.01,-5.0,4,OPCION 2,0.8
27,urn1,Abel Reyes,AR,Perú Libre,PL,OPCION 4,3785,8,bandeja1,1,0.096456,3.956956,0.054809,0.83,-0.51,38.32,5,OPCION 4,0.9
33,urn1,Elías Varas,EV,Juntos por el Perú,JPP,OPCION 4,3785,9,bandeja1,1,0.032984,3.879828,0.049007,-0.75,-179.65,-73.75,6,OPCION 4,1.0
31,urn1,Jhakeline Ugarte,JU,Juntos por el Perú,JPP,OPCION 4,3785,10,bandeja1,1,0.066361,3.983156,0.044678,-0.18,-0.22,15.43,7,OPCION 4,1.1
25,urn1,Auristela Obando,AO,Fuerza Popular,FP,INDETERMINADO,3785,5,bandeja1,1,-0.104333,3.917578,0.047552,-149.47,-0.02,-50.1,8,OPCION 4,1.2
37,urn1,Óscar Zea,OZ,Somos Perú,SP,INDETERMINADO,3785,6,bandeja1,1,-0.055011,4.003879,0.04869,0.04,-0.03,-2.88,9,OPCION 4,1.3
28,urn1,Magally Santisteban,MS,Fuerza Popular,FP,INDETERMINADO,3785,7,bandeja1,1,-0.024313,4.126889,0.083155,-63.05,-9.26,-24.22,10,OPCION 4,1.4
24,urn1,Segundo Montalvo,SM,Perú Libre,PL,INDETERMINADO,3785,11,bandeja1,1,0.100389,3.955673,0.070205,1.08,-0.41,34.74,11,OPCION 4,1.5
29,urn1,Rosio Torres,RT,Alianza para el Progreso,APP,INDETERMINADO,3785,12,bandeja1,1,-0.099436,4.118496,0.063808,-28.12,-2.08,-25.45,12,OPCION 2,1.6
30,urn1,Adriana Tudela,AT,Avanza País,AvP,INDETERMINADO,3785,13,bandeja1,1,-0.017594,4.115444,0.063925,117.12,-11.06,-25.15,13,OPCION 2,1.7
32,urn1,Héctor Valer,HV,Somos Perú,SP,INDETERMINADO,3785,14,bandeja1,1,-0.015469,3.941582,0.048706,0.2,0.12,15.68,14,OPCION 4,1.8
34,urn1,Elvis Vergara,EV,Acción Popular,AP,INDETERMINADO,3785,15,bandeja1,1,-0.044226,4.155748,0.080073,-87.34,-154.49,-25.75,15,OPCION 2,1.9
23,urn1,Esdras Medina,EM,Renovación Popular,RP,INDETERMINADO,3785,16,bandeja1,1,0.012784,3.851214,0.069195,0.28,-0.67,4.77,16,OPCION 4,2.0
12,urn1,Hamlet Echeverría,HE,Juntos por el Perú,JPP,OPCION 4,3785,21,bandeja1,1,-0.090378,3.877604,0.083339,28.33,-7.11,-37.12,17,OPCION 4,2.1
21,urn1,George Málaga,GM,No agrupado,NA,INDETERMINADO,3785,17,bandeja1,1,-0.030814,3.940427,0.062799,-29.71,0.05,15.32,18,OPCION 4,2.2
22,urn1,Jorge Marticorena,JM,Alianza para el Progreso,APP,INDETERMINADO,3785,18,bandeja1,1,-0.055363,4.090958,0.047819,0.07,0.03,-4.63,19,OPCION 2,2.3
11,urn1,Pasión Dávila,PD,Bancada Socialista,BS,OPCION 4,3785,23,bandeja1,1,-0.02736,3.968253,0.065145,-28.92,-6.39,3.75,20,OPCION 4,2.4
17,urn1,Nelcy Heidinger,NH,Alianza para el Progreso,APP,INDETERMINADO,3785,19,bandeja1,1,-0.11041,3.909824,0.057202,29.25,0.05,-50.26,21,OPCION 4,2.5
18,urn1,Mery Infantes,MI,Fuerza Popular,FP,INDETERMINADO,3785,20,bandeja1,1,-0.137597,4.015833,0.049239,3.67,-2.53,-3.88,22,OPCION 2,2.6
20,urn1,Judith Laura,JL,Podemos Perú,PP,INDETERMINADO,3785,22,bandeja1,1,0.018691,4.058557,0.06922,-168.79,2.31,-15.58,23,OPCION 2,2.7
9,urn1,Flavio Cruz,FC,Perú Libre,PL,OPCION 4,3785,28,bandeja1,1,-0.02518,4.015828,0.060784,-28.52,0.0,-2.49,24,OPCION 4,2.8
10,urn1,José Cueto,JC,Renovación Popular,RP,INDETERMINADO,3785,24,bandeja1,1,-0.112035,4.061595,0.058702,-88.36,0.56,-4.59,25,OPCION 4,2.9
36,urn1,Norma Yarrow,NY,Renovación Popular,RP,INDETERMINADO,3785,25,bandeja1,1,-0.07988,3.961178,0.082717,-28.68,-7.35,1.9,26,OPCION 2,3.0
19,urn1,Patricia Juárez,PJ,Fuerza Popular,FP,INDETERMINADO,3785,26,bandeja1,1,-0.046206,4.023501,0.074281,-58.54,-0.01,-2.49,27,OPCION 2,3.1
14,urn1,Alex Flores,AF,Bancada Socialista,BS,OPCION 4,3785,30,bandeja1,1,-0.110564,3.899658,0.064845,-150.88,-1.41,-47.5,28,OPCION 4,3.2
16,urn1,Idelso García,IG,Alianza para el Progreso,APP,INDETERMINADO,3785,27,bandeja1,1,-0.105988,4.042901,0.071353,-58.44,-3.66,-4.71,29,OPCION 2,3.3
5,urn1,José Balcázar,JB,Perú Libre,PL,OPCION 4,3785,34,bandeja1,1,0.098945,3.970459,0.081571,-24.6,-13.89,7.93,30,OPCION 4,3.4
26,urn1,César Revilla,CR,Fuerza Popular,FP,INDETERMINADO,3785,29,bandeja1,1,-0.008984,3.944798,0.096888,-6.83,-1.51,57.32,31,OPCION 4,3.5
15,urn1,Víctor Flores,VF,Fuerza Popular,FP,INDETERMINADO,3785,31,bandeja1,1,-0.015375,4.048077,0.086605,145.74,4.96,-29.4,32,OPCION 4,3.6
7,urn1,Luis Cordero,LC,Alianza para el Progreso,APP,INDETERMINADO,3785,32,bandeja1,1,0.128072,4.055753,0.059633,0.2,0.13,65.58,33,OPCION 4,3.7
1,urn1,María Agüero,MA,Perú Libre,PL,OPCION 4,3785,38,bandeja1,1,0.034514,3.902881,0.077401,173.44,4.81,14.46,34,OPCION 4,3.8
13,urn1,Jorge Flores,JF,Alianza para el Progreso,APP,INDETERMINADO,3785,33,bandeja1,1,0.144509,4.030957,0.07807,-0.78,4.19,-33.12,35,VICIADO,3.9
4,urn1,Luis Alegría,LA,Fuerza Popular,FP,OPCION 2,3785,40,bandeja1,1,-0.073569,3.970751,0.104684,151.66,-10.55,-6.14,36,OPCION 2,4.0
3,urn1,Yorel Alcarraz,YA,Somos Perú,SP,INDETERMINADO,3785,35,bandeja1,1,0.04563,4.031161,0.09523,-33.9,4.31,-25.93,37,OPCION 2,4.1
6,urn1,Nilza Chacón,NC,Fuerza Popular,FP,INDETERMINADO,3785,36,bandeja1,1,-0.140596,4.082363,0.085641,-38.68,-12.56,-20.43,38,OPCION 4,4.2
8,urn1,Isabel Cortez,IC,No agrupado,NA,INDETERMINADO,3785,37,bandeja1,1,-0.077529,3.984397,0.078103,161.13,-5.53,3.02,39,OPCION 4,4.3
2,urn1,Alejandro Aguinaga,AA,Fuerza Popular,FP,INDETERMINADO,3785,39,bandeja1,1,0.0192,3.868368,0.101781,177.73,4.45,2.89,40,OPCION 2,4.4
73,urn2,Hilda Portero,HP,Acción Popular,AP,INDETERMINADO,3785,41,bandeja1,1,0.118082,3.952986,0.106544,-28.1,-1.21,33.6,41,OPCION 4,4.5
68,urn2,Jorge Zeballos,JZ,Renovación Popular,RP,INDETERMINADO,3785,42,bandeja1,1,0.100237,4.11683,0.072534,-17.77,-4.05,-37.64,42,OPCION 4,4.6
64,urn2,Germán Tacuri,GT,Juntos por el Perú,JPP,OPCION 4,3785,47,bandeja1,1,-0.031402,4.090086,0.094166,-33.18,-8.66,-25.72,43,OPCION 4,4.7
70,urn2,Ana Zegarra,AZ,Somos Perú,SP,INDETERMINADO,3785,43,bandeja1,1,-0.142571,3.991378,0.08452,-52.67,-28.72,38.52,44,OPCION 2,4.8
72,urn2,Margot Palacios,MP,No agrupado,NA,INDETERMINADO,3785,44,bandeja1,1,0.101397,3.995469,0.095548,147.31,25.84,69.22,45,OPCION 2,4.9
67,urn2,Cheryl Trigozo,CT,Renovación Popular,RP,INDETERMINADO,3785,45,bandeja1,1,0.054957,4.147291,0.091126,-168.24,7.64,-20.51,46,OPCION 2,5.0
