order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
40,urn1,Patricia Chirinos,PC,Renovación Popular,RP,OPCION 4,1485,2,bandeja1,1,0.049694,3.955796,0.049682,-0.1,1.48,53.22,1,OPCION 4,0.5
35,urn1,José Williams,JW,Avanza País,AvP,INDETERMINADO,1485,1,bandeja1,1,-0.017615,4.055823,0.050477,0.47,0.82,-73.66,2,OPCION 2,0.6
33,urn1,Elías Varas,EV,Juntos por el Perú,JPP,OPCION 4,1485,5,bandeja1,1,-0.019165,4.06285,0.070329,0.61,0.62,-71.57,3,OPCION 4,0.7
39,urn1,Segundo Acuña,SA,Honor y Democracia,HyD,INDETERMINADO,1485,3,bandeja1,1,0.005526,3.977963,0.060208,-25.06,0.07,50.27,4,OPCION 2,0.8
31,urn1,Jhakeline Ugarte,JU,Juntos por el Perú,JPP,OPCION 4,1485,7,bandeja1,1,0.040347,4.077117,0.06883,-93.93,2.27,-26.27,5,OPCION 4,0.9
38,urn1,Mary Acuña,MA,Alianza para el Progreso,APP,INDETERMINADO,1485,4,bandeja1,1,0.082251,4.016937,0.067436,94.2,1.11,107.11,6,OPCION 4,1.0
36,urn1,Norma Yarrow,NY,Renovación Popular,RP,INDETERMINADO,1485,6,bandeja1,1,-0.08289,4.021241,0.067359,96.71,0.63,-103.5,7,OPCION 4,1.1
34,urn1,Elvis Vergara,EV,Acción Popular,AP,INDETERMINADO,1485,8,bandeja1,1,0.043202,4.03332,0.066395,-88.77,0.09,125.33,8,OPCION 4,1.2
37,urn1,Óscar Zea,OZ,Somos Perú,SP,INDETERMINADO,1485,9,bandeja1,1,-0.007742,3.99568,0.072019,-21.29,-12.63,20.48,9,OPCION 4,1.3
29,urn1,Rosio Torres,RT,Alianza para el Progreso,APP,INDETERMINADO,1485,10,bandeja1,1,-0.025547,4.062085,0.089988,-0.14,-1.22,35.37,10,OPCION 4,1.4
27,urn1,Abel Reyes,AR,Perú Libre,PL,OPCION 4,1485,13,bandeja1,1,0.05569,3.953226,0.069489,0.13,1.59,49.89,11,OPCION 4,1.5
28,urn1,Magally Santisteban,MS,Fuerza Popular,FP,INDETERMINADO,1485,11,bandeja1,1,-0.066332,4.010758,0.078062,-0.97,-97.01,-12.61,12,OPCION 2,1.6
32,urn1,Héctor Valer,HV,Somos Perú,SP,INDETERMINADO,1485,12,bandeja1,1,-0.026789,4.064548,0.10978,0.37,-1.03,29.09,13,OPCION 2,1.7
30,urn1,Adriana Tudela,AT,Avanza País,AvP,INDETERMINADO,1485,14,bandeja1,1,-0.011921,4.000809,0.090883,-21.85,-11.83,22.81,14,OPCION 4,1.8
21,urn1,George Málaga,GM,No agrupado,NA,INDETERMINADO,1485,15,bandeja1,1,0.056254,4.031022,0.104018,0.26,-2.82,21.4,15,OPCION 2,1.9
24,urn1,Segundo Montalvo,SM,Perú Libre,PL,INDETERMINADO,1485,16,bandeja1,1,-0.038088,3.996021,0.126216,-7.31,11.95,15.82,16,OPCION 4,2.0
25,urn1,Auristela Obando,AO,Fuerza Popular,FP,INDETERMINADO,1485,17,bandeja1,1,-0.068617,3.970301,0.079359,-51.78,-96.44,-18.13,17,OPCION 4,2.1
22,urn1,Jorge Marticorena,JM,Alianza para el Progreso,APP,INDETERMINADO,1485,18,bandeja1,1,-0.014221,3.922919,0.066688,-88.43,-0.45,175.23,18,OPCION 4,2.2
19,urn1,Patricia Juárez,PJ,Fuerza Popular,FP,INDETERMINADO,1485,19,bandeja1,1,0.064196,3.992413,0.127305,65.44,-3.03,6.98,19,OPCION 2,2.3
26,urn1,César Revilla,CR,Fuerza Popular,FP,INDETERMINADO,1485,20,bandeja1,1,0.056788,3.953988,0.089286,0.07,1.74,51.19,20,OPCION 4,2.4
18,urn1,Mery Infantes,MI,Fuerza Popular,FP,INDETERMINADO,1485,21,bandeja1,1,-0.018293,4.08706,0.146252,-90.25,-0.6,11.79,21,OPCION 4,2.5
17,urn1,Nelcy Heidinger,NH,Alianza para el Progreso,APP,INDETERMINADO,1485,22,bandeja1,1,-0.046728,4.060833,0.145593,-89.85,-0.79,11.55,22,OPCION 2,2.6
23,urn1,Esdras Medina,EM,Renovación Popular,RP,INDETERMINADO,1485,23,bandeja1,1,0.037045,4.047651,0.142985,-2.45,-1.08,99.92,23,OPCION 2,2.7
11,urn1,Pasión Dávila,PD,Bancada Socialista,BS,OPCION 4,1485,24,bandeja1,1,0.06139,3.969792,0.12677,65.59,1.31,4.89,24,OPCION 4,2.8
14,urn1,Alex Flores,AF,Bancada Socialista,BS,OPCION 4,1485,26,bandeja1,1,-0.033491,4.025445,0.140627,8.16,-168.63,11.51,25,OPCION 4,2.9
4,urn1,Luis Alegría,LA,Fuerza Popular,FP,OPCION 2,1485,28,bandeja1,1,-0.062685,3.937459,0.128924,77.41,-113.36,-37.27,26,OPCION 2,3.0
15,urn1,Víctor Flores,VF,Fuerza Popular,FP,INDETERMINADO,1485,25,bandeja1,1,0.042538,4.049371,0.123557,-1.93,-2.08,66.09,27,OPCION 2,3.1
13,urn1,Jorge Flores,JF,Alianza para el Progreso,APP,INDETERMINADO,1485,27,bandeja1,1,0.009987,3.925619,0.117157,37.65,-14.08,13.63,28,OPCION 4,3.2
20,urn1,Judith Laura,JL,Podemos Perú,PP,INDETERMINADO,1485,29,bandeja1,1,-0.015062,3.959897,0.101531,79.44,-9.64,19.49,29,OPCION 2,3.3
5,urn1,José Balcázar,JB,Perú Libre,PL,OPCION 4,1485,32,bandeja1,1,-0.011137,3.94966,0.145003,-17.37,-10.29,27.53,30,OPCION 4,3.4
9,urn1,Flavio Cruz,FC,Perú Libre,PL,OPCION 4,1485,33,bandeja1,1,0.049738,4.04115,0.163699,0.83,-1.03,46.0,31,OPCION 4,3.5
16,urn1,Idelso García,IG,Alianza para el Progreso,APP,INDETERMINADO,1485,30,bandeja1,1,0.023733,3.915551,0.156428,83.32,-17.7,18.57,32,OPCION 4,3.6
6,urn1,Nilza Chacón,NC,Fuerza Popular,FP,INDETERMINADO,1485,31,bandeja1,1,0.006639,4.071876,0.193223,-90.17,24.25,12.09,33,OPCION 4,3.7
10,urn1,José Cueto,JC,Renovación Popular,RP,INDETERMINADO,1485,34,bandeja1,1,-0.02381,4.044818,0.17388,-90.14,11.5,12.2,34,OPCION 4,3.8
8,urn1,Isabel Cortez,IC,No agrupado,NA,INDETERMINADO,1485,35,bandeja1,1,-0.091072,4.017133,0.131196,72.43,-89.7,-83.05,35,VICIADO,3.9
2,urn1,Alejandro Aguinaga,AA,Fuerza Popular,FP,INDETERMINADO,1485,36,bandeja1,1,-0.029237,3.963298,0.162498,13.77,-8.51,-75.2,36,OPCION 2,4.0
3,urn1,Yorel Alcarraz,YA,Somos Perú,SP,INDETERMINADO,1485,38,bandeja1,1,-0.052054,3.974285,0.176042,5.35,-15.3,-36.09,37,OPCION 2,4.1
1,urn1,María Agüero,MA,Perú Libre,PL,OPCION 4,1485,37,bandeja1,1,0.067623,3.972646,0.166106,-14.21,156.31,65.56,38,OPCION 4,4.2
12,urn1,Hamlet Echeverría,HE,Juntos por el Perú,JPP,OPCION 4,1485,40,bandeja1,1,0.077005,3.957125,0.199803,-96.49,22.14,-120.43,39,OPCION 4,4.3
7,urn1,Luis Cordero,LC,Alianza para el Progreso,APP,INDETERMINADO,1485,39,bandeja1,1,-0.018796,4.086793,0.198688,-90.25,-0.53,12.11,40,OPCION 2,4.4
71,urn2,Luis Aragón,LA,Acción Popular,AP,INDETERMINADO,1485,41,bandeja1,1,0.001405,3.991146,0.188152,79.28,42.84,88.31,41,OPCION 4,4.5
70,urn2,Ana Zegarra,AZ,Somos Perú,SP,INDETERMINADO,1485,42,bandeja1,1,0.054526,4.04302,0.21093,66.68,88.86,96.05,42,OPCION 4,4.6
68,urn2,Jorge Zeballos,JZ,Renovación Popular,RP,INDETERMINADO,1485,43,bandeja1,1,0.077486,4.043152,0.200137,-89.54,1.15,-60.63,43,OPCION 4,4.7
72,urn2,Margot Palacios,MP,No agrupado,NA,INDETERMINADO,1485,44,bandeja1,1,0.061718,3.969211,0.206969,-96.55,22.2,-120.29,44,OPCION 2,4.8
73,urn2,Hilda Portero,HP,Acción Popular,AP,INDETERMINADO,1485,45,bandeja1,1,0.022594,3.974641,0.193176,79.58,41.37,88.61,45,OPCION 2,4.9
69,urn2,Carlos Zeballos,CZ,Bloque Democrático Popular,BDP,INDETERMINADO,1485,46,bandeja1,1,-0.065657,4.030818,0.208524,-28.08,-40.29,57.58,46,OPCION 2,5.0
67,urn2,Cheryl Trigozo,CT,Renovación Popular,RP,INDETERMINADO,1485,48,bandeja1,1,0.024268,4.012637,0.212637,-33.13,-32.45,-67.53,47,OPCION 2,5.1
65,urn2,María Taipe,MT,Perú Libre,PL,OPCION 4,1485,47,bandeja1,1,-0.028092,3.925331,0.204624,45.61,63.43,-28.23,48,OPCION 4,5.2
64,urn2,Germán Tacuri,GT,Juntos por el Perú,JPP,OPCION 4,1485,51,bandeja1,1,-0.073247,4.014137,0.224611,140.85,-29.88,76.43,49,OPCION 4,5.3
62,urn2,Eduardo Salhuana,ES,Alianza para el Progreso,APP,INDETERMINADO,1485,49,bandeja1,1,0.021127,4.026688,0.229947,-36.57,-28.44,-60.9,50,OPCION 4,5.4
61,urn2,Magaly Ruíz,MR,Alianza para el Progreso,APP,INDETERMINADO,1485,50,bandeja1,1,-0.052959,3.964661,0.203969,26.86,10.79,-147.72,51,OPCION 2,5.5
63,urn2,Wilson Soto,WS,Acción Popular,AP,INDETERMINADO,1485,52,bandeja2,1,0.0352,-3.914661,0.09442,-90.53,4.48,-27.2,52,OPCION 2,5.6
55,urn2,Segundo Quiroz,SQ,Alianza para el Progreso,APP,INDETERMINADO,1485,53,bandeja2,1,0.048732,-4.043163,0.054114,-1.83,-6.34,42.09,53,OPCION 2,5.7
