order,urn,name,name_acronym,party,party_acronym,vote,estrato_visual,color_rgba,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
16,urn1,Idelso García,IG,Alianza para el Progreso,APP,INDETERMINADO,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,22,bandeja1,7,-0.084771,4.043641,0.113447,53.71,-89.38,-80.56,27,OPCION 2,3.1
15,urn1,Víctor Flores,VF,Fuerza Popular,FP,INDETERMINADO,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,20,bandeja1,7,0.025134,3.972397,0.110306,-1.49,0.57,23.9,28,OPCION 4,3.2
24,urn1,Segundo Montalvo,SM,Perú Libre,PL,INDETERMINADO,Cluster_3,"(0.2, 0.5, 1.0, 1.0)",7094,15,bandeja1,7,-0.007387,4.054027,0.108824,-1.16,-0.08,7.59,29,OPCION 2,3.3
19,urn1,Patricia Juárez,PJ,Fuerza Popular,FP,INDETERMINADO,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,16,bandeja1,7,0.026986,3.967003,0.100774,-1.13,0.69,24.43,30,OPCION 4,3.4
14,urn1,Alex Flores,AF,Bancada Socialista,BS,OPCION 4,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,27,bandeja1,7,-0.075727,3.952336,0.102646,83.24,-71.33,-52.33,31,OPCION 4,3.5
17,urn1,Nelcy Heidinger,NH,Alianza para el Progreso,APP,INDETERMINADO,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,18,bandeja1,7,-0.008383,4.043986,0.099345,-0.81,-0.14,20.32,32,OPCION 4,3.6
20,urn1,Judith Laura,JL,Podemos Perú,PP,INDETERMINADO,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,14,bandeja1,7,0.019307,3.964074,0.091023,0.04,1.21,93.86,33,OPCION 4,3.7
31,urn1,Jhakeline Ugarte,JU,Juntos por el Perú,JPP,OPCION 4,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,11,bandeja1,7,0.071514,4.010528,0.086313,89.58,-7.43,113.62,34,OPCION 4,3.8
37,urn1,Óscar Zea,OZ,Somos Perú,SP,INDETERMINADO,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,1,bandeja1,7,-0.007152,4.053554,0.089445,-0.52,-0.26,8.53,35,VICIADO,3.9
10,urn1,José Cueto,JC,Renovación Popular,RP,INDETERMINADO,Cluster_1,"(1.0, 0.2, 0.2, 1.0)",7094,29,bandeja1,7,-0.065431,3.953427,0.095889,87.42,-25.56,-57.94,36,OPCION 2,4.0
25,urn1,Auristela Obando,AO,Fuerza Popular,FP,INDETERMINADO,Cluster_3,"(0.2, 0.5, 1.0, 1.0)",7094,13,bandeja1,7,0.017238,3.957319,0.081599,0.22,0.86,115.8,37,OPCION 2,4.1
33,urn1,Elías Varas,EV,Juntos por el Perú,JPP,OPCION 4,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,21,bandeja1,7,0.081632,4.035106,0.106816,89.26,-0.14,113.41,38,OPCION 4,4.2
28,urn1,Magally Santisteban,MS,Fuerza Popular,FP,INDETERMINADO,Cluster_3,"(0.2, 0.5, 1.0, 1.0)",7094,7,bandeja1,7,-0.006915,4.054382,0.080156,-0.38,-0.61,6.69,39,OPCION 4,4.3
18,urn1,Mery Infantes,MI,Fuerza Popular,FP,INDETERMINADO,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,25,bandeja1,7,-0.051637,3.988277,0.083695,87.68,-7.34,-59.68,40,OPCION 2,4.4
12,urn1,Hamlet Echeverría,HE,Juntos por el Perú,JPP,OPCION 4,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,30,bandeja1,7,-0.063214,3.967514,0.077291,87.81,-0.03,-59.33,41,OPCION 4,4.5
13,urn1,Jorge Flores,JF,Alianza para el Progreso,APP,INDETERMINADO,Cluster_2,"(0.2, 0.8, 0.2, 1.0)",7094,26,bandeja1,7,-0.058812,3.980377,0.077313,87.83,0.0,-59.71,42,OPCION 4,4.6
35,urn1,José Williams,JW,Avanza País,AvP,INDETERMINADO,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,2,bandeja1,7,0.073016,4.031605,0.087235,89.41,-0.19,113.42,43,OPCION 4,4.7
30,urn1,Adriana Tudela,AT,Avanza País,AvP,INDETERMINADO,Cluster_3,"(0.2, 0.5, 1.0, 1.0)",7094,12,bandeja1,7,0.015028,3.960039,0.072605,-0.3,0.78,97.16,44,OPCION 2,4.8
34,urn1,Elvis Vergara,EV,Acción Popular,AP,INDETERMINADO,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,8,bandeja1,7,-0.006662,4.049861,0.070423,0.08,-0.53,8.88,45,OPCION 2,4.9
32,urn1,Héctor Valer,HV,Somos Perú,SP,INDETERMINADO,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,10,bandeja1,7,0.027858,3.963556,0.062652,-0.83,-0.09,21.57,46,OPCION 2,5.0
29,urn1,Rosio Torres,RT,Alianza para el Progreso,APP,INDETERMINADO,Cluster_3,"(0.2, 0.5, 1.0, 1.0)",7094,6,bandeja1,7,-0.007882,4.049356,0.061066,0.59,-0.93,-0.77,47,OPCION 2,5.1
26,urn1,César Revilla,CR,Fuerza Popular,FP,INDETERMINADO,Cluster_3,"(0.2, 0.5, 1.0, 1.0)",7094,9,bandeja1,7,0.028631,3.960963,0.053597,-1.12,-0.29,27.93,48,OPCION 4,5.2
38,urn1,Mary Acuña,MA,Alianza para el Progreso,APP,INDETERMINADO,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,5,bandeja1,7,-0.006483,4.04476,0.051847,-0.46,-1.47,15.06,49,OPCION 4,5.3
39,urn1,Segundo Acuña,SA,Honor y Democracia,HyD,INDETERMINADO,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,3,bandeja1,7,0.020109,3.958885,0.044662,0.04,0.29,9.86,50,OPCION 4,5.4
36,urn1,Norma Yarrow,NY,Renovación Popular,RP,INDETERMINADO,Cluster_4,"(1.0, 0.8, 0.0, 1.0)",7094,4,bandeja1,7,0.023473,4.055171,0.044345,0.05,-0.53,-18.17,51,OPCION 2,5.5
3,urn2,Ilich López,IL,Acción Popular,AP,OPCION 2,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,110,bandeja2,7,-0.032644,-4.077034,0.304867,84.32,-8.95,-19.38,52,OPCION 2,5.6
5,urn2,Alejandro Cavero,AC,Avanza País,AvP,INDETERMINADO,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,111,bandeja2,7,-0.021988,-4.042678,0.300455,35.25,-14.4,-18.82,53,OPCION 2,5.7
1,urn2,Fernando Rospigliosi,FR,Fuerza Popular,FP,INDETERMINADO,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,113,bandeja2,7,0.037239,-3.966525,0.296406,0.67,23.71,50.68,54,OPCION 2,5.8
2,urn2,Waldemar Cerrón,WC,Perú Libre,PL,OPCION 4,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,112,bandeja2,7,-0.015857,-4.036582,0.294469,36.94,-8.21,-27.47,55,OPCION 4,5.9
7,urn2,Carlos Alva,CA,Acción Popular,AP,INDETERMINADO,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,105,bandeja2,7,0.00335,-4.042136,0.268555,-6.62,-7.21,48.07,56,OPCION 2,6.0
