order,urn,name,name_acronym,party,party_acronym,vote,estrato_visual,color_rgba,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
51,urn2,Susel Paredes,SP,Bloque Democrático Popular,BDP,INDETERMINADO,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",7094,60,bandeja2,7,0.02006,-3.947902,0.076053,-13.72,-4.87,-19.88,104,OPCION 2,10.8
44,urn2,Leslie Olivos,LO,Fuerza Popular,FP,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,74,bandeja2,7,-0.069522,-3.984648,0.076316,-98.97,-1.08,65.01,105,OPCION 2,10.9
48,urn2,Francis Paredes,FP,Podemos Perú,PP,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,68,bandeja2,7,0.084252,-3.99681,0.077213,91.89,-0.05,89.68,106,OPCION 2,11.0
54,urn2,Kelly Portalatino,KP,Perú Libre,PL,OPCION 4,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",7094,54,bandeja2,7,0.011111,-4.054631,0.069545,1.47,-1.99,11.89,107,OPCION 4,11.1
61,urn2,Magaly Ruíz,MR,Alianza para el Progreso,APP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",7094,56,bandeja2,7,0.00951,-4.052553,0.060355,2.59,-1.39,6.56,108,OPCION 2,11.2
65,urn2,María Taipe,MT,Perú Libre,PL,OPCION 4,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",7094,61,bandeja2,7,0.017125,-3.949792,0.067128,-13.32,-6.42,-23.5,109,OPCION 4,11.3
56,urn2,Wilson Quispe,WQ,Juntos por el Perú,JPP,OPCION 4,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",7094,59,bandeja2,7,0.015497,-3.956648,0.059045,-15.29,-0.65,0.03,110,OPCION 4,11.4
62,urn2,Eduardo Salhuana,ES,Alianza para el Progreso,APP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",7094,55,bandeja2,7,0.011782,-4.049163,0.050892,2.15,-1.14,12.11,111,OPCION 4,11.5
63,urn2,Wilson Soto,WS,Acción Popular,AP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",7094,52,bandeja2,7,0.024686,-4.017684,0.044284,0.35,0.44,1.09,112,OPCION 2,11.6
55,urn2,Segundo Quiroz,SQ,Alianza para el Progreso,APP,INDETERMINADO,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",7094,53,bandeja2,7,0.016017,-3.976829,0.054278,-15.06,0.97,6.57,113,OPCION 4,11.7
64,urn2,Germán Tacuri,GT,Juntos por el Perú,JPP,OPCION 4,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",4749,48,bandeja1,8,0.054896,3.973311,0.273337,24.23,-19.63,71.06,1,OPCION 4,0.5
