order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
33,urn1,Elías Varas,EV,Juntos por el Perú,JPP,OPCION 4,6341,3,bandeja1,1,-0.134025,4.02425,0.049936,-0.02,179.98,0.62,1,OPCION 4,0.5
38,urn1,Mary Acuña,MA,Alianza para el Progreso,APP,INDETERMINADO,6341,1,bandeja1,1,-0.032912,4.105503,0.049885,0.08,0.08,-1.74,2,OPCION 2,0.6
40,urn1,Patricia Chirinos,PC,Renovación Popular,RP,OPCION 4,6341,4,bandeja1,1,0.033943,3.864604,0.049783,-0.33,0.12,-75.63,3,OPCION 4,0.7
34,urn1,Elvis Vergara,EV,Acción Popular,AP,INDETERMINADO,6341,2,bandeja1,1,0.101224,3.890089,0.049542,0.12,0.04,43.16,4,OPCION 2,0.8
31,urn1,Jhakeline Ugarte,JU,Juntos por el Perú,JPP,OPCION 4,6341,7,bandeja1,1,-0.133132,3.971744,0.049867,0.05,-0.06,-179.38,5,OPCION 4,0.9
39,urn1,Segundo Acuña,SA,Honor y Democracia,HyD,INDETERMINADO,6341,5,bandeja1,1,0.03206,4.026093,0.049945,-0.06,-0.03,-33.12,6,OPCION 4,1.0
35,urn1,José Williams,JW,Avanza País,AvP,INDETERMINADO,6341,6,bandeja1,1,-0.049799,4.053173,0.049968,-0.04,0.05,-1.26,7,OPCION 4,1.1
37,urn1,Óscar Zea,OZ,Somos Perú,SP,INDETERMINADO,6341,8,bandeja1,1,0.05601,3.938184,0.049885,0.04,-0.0,18.19,8,OPCION 4,1.2
36,urn1,Norma Yarrow,NY,Renovación Popular,RP,INDETERMINADO,6341,9,bandeja1,1,0.132315,4.036583,0.049991,-0.02,-0.02,18.0,9,OPCION 4,1.3
25,urn1,Auristela Obando,AO,Fuerza Popular,FP,INDETERMINADO,6341,10,bandeja1,1,0.107944,4.103187,0.049966,-179.99,-0.03,-47.77,10,OPCION 4,1.4
29,urn1,Rosio Torres,RT,Alianza para el Progreso,APP,INDETERMINADO,6341,11,bandeja1,1,0.063031,3.862926,0.069583,0.22,0.16,17.36,11,OPCION 4,1.5
30,urn1,Adriana Tudela,AT,Avanza País,AvP,INDETERMINADO,6341,12,bandeja1,1,0.148849,4.050746,0.069991,0.03,0.01,-59.81,12,OPCION 2,1.6
19,urn1,Patricia Juárez,PJ,Fuerza Popular,FP,INDETERMINADO,6341,13,bandeja1,1,0.055253,3.916517,0.069872,0.11,0.03,16.69,13,OPCION 2,1.7
27,urn1,Abel Reyes,AR,Perú Libre,PL,OPCION 4,6341,14,bandeja1,1,-0.055649,3.928903,0.049989,0.03,0.04,116.6,14,OPCION 4,1.8
23,urn1,Esdras Medina,EM,Renovación Popular,RP,INDETERMINADO,6341,15,bandeja1,1,0.087057,3.874849,0.089659,-0.04,-179.63,-62.09,15,OPCION 2,1.9
24,urn1,Segundo Montalvo,SM,Perú Libre,PL,INDETERMINADO,6341,16,bandeja1,1,-0.129082,4.048064,0.069932,-0.04,-0.05,-0.38,16,OPCION 4,2.0
26,urn1,César Revilla,CR,Fuerza Popular,FP,INDETERMINADO,6341,17,bandeja1,1,0.048092,4.07832,0.04991,179.98,-0.0,-33.14,17,OPCION 4,2.1
22,urn1,Jorge Marticorena,JM,Alianza para el Progreso,APP,INDETERMINADO,6341,18,bandeja1,1,0.003967,3.960391,0.065313,156.58,3.53,35.98,18,OPCION 4,2.2
32,urn1,Héctor Valer,HV,Somos Perú,SP,INDETERMINADO,6341,19,bandeja1,1,0.095604,3.969072,0.066246,90.0,-0.01,-71.99,19,OPCION 2,2.3
17,urn1,Nelcy Heidinger,NH,Alianza para el Progreso,APP,INDETERMINADO,6341,20,bandeja1,1,-0.11408,4.096002,0.049955,0.06,179.98,49.64,20,OPCION 4,2.4
18,urn1,Mery Infantes,MI,Fuerza Popular,FP,INDETERMINADO,6341,21,bandeja1,1,-0.058828,4.000141,0.049989,179.96,-0.03,-0.16,21,OPCION 4,2.5
28,urn1,Magally Santisteban,MS,Fuerza Popular,FP,INDETERMINADO,6341,22,bandeja1,1,0.133327,3.970269,0.049948,0.0,-0.03,108.01,22,OPCION 2,2.6
20,urn1,Judith Laura,JL,Podemos Perú,PP,INDETERMINADO,6341,23,bandeja1,1,-0.103666,4.109868,0.069928,179.93,-0.05,16.14,23,OPCION 2,2.7
21,urn1,George Málaga,GM,No agrupado,NA,INDETERMINADO,6341,24,bandeja1,1,0.101309,4.111851,0.06994,0.02,-179.99,60.3,24,OPCION 4,2.8
12,urn1,Hamlet Echeverría,HE,Juntos por el Perú,JPP,OPCION 4,6341,27,bandeja1,1,-0.15221,3.994368,0.069909,0.03,0.01,-5.15,25,OPCION 4,2.9
16,urn1,Idelso García,IG,Alianza para el Progreso,APP,INDETERMINADO,6341,25,bandeja1,1,0.056024,4.163203,0.06773,-102.1,0.29,-20.63,26,OPCION 2,3.0
13,urn1,Jorge Flores,JF,Alianza para el Progreso,APP,INDETERMINADO,6341,26,bandeja1,1,0.017476,4.066463,0.06992,-0.04,-179.97,65.91,27,OPCION 2,3.1
9,urn1,Flavio Cruz,FC,Perú Libre,PL,OPCION 4,6341,28,bandeja1,1,-0.106333,3.978434,0.086187,89.81,-0.06,84.74,28,OPCION 4,3.2
10,urn1,José Cueto,JC,Renovación Popular,RP,INDETERMINADO,6341,29,bandeja1,1,0.031236,3.84867,0.089683,0.06,-179.71,-77.79,29,OPCION 2,3.3
14,urn1,Alex Flores,AF,Bancada Socialista,BS,OPCION 4,6341,32,bandeja1,1,-0.026664,3.860341,0.049979,0.02,-0.03,116.55,30,OPCION 4,3.4
5,urn1,José Balcázar,JB,Perú Libre,PL,OPCION 4,6341,33,bandeja1,1,0.020111,3.995996,0.082375,-4.98,-16.76,-22.66,31,OPCION 4,3.5
8,urn1,Isabel Cortez,IC,No agrupado,NA,INDETERMINADO,6341,30,bandeja1,1,-0.110041,3.90046,0.049641,0.02,-0.04,-48.1,32,OPCION 4,3.6
15,urn1,Víctor Flores,VF,Fuerza Popular,FP,INDETERMINADO,6341,31,bandeja1,1,-0.147133,4.072685,0.089904,0.07,179.98,63.46,33,OPCION 4,3.7
11,urn1,Pasión Dávila,PD,Bancada Socialista,BS,OPCION 4,6341,36,bandeja1,1,-0.154044,4.055315,0.109899,0.06,-0.0,-110.16,34,OPCION 4,3.8
2,urn1,Alejandro Aguinaga,AA,Fuerza Popular,FP,INDETERMINADO,6341,35,bandeja1,1,0.030596,4.13086,0.064987,41.81,-0.05,159.44,35,VICIADO,3.9
4,urn1,Luis Alegría,LA,Fuerza Popular,FP,OPCION 2,6341,34,bandeja1,1,0.068669,4.0447,0.069955,-0.07,0.03,60.97,36,OPCION 2,4.0
7,urn1,Luis Cordero,LC,Alianza para el Progreso,APP,INDETERMINADO,6341,38,bandeja1,1,-0.0227,3.887446,0.069979,0.1,0.11,-15.75,37,OPCION 2,4.1
1,urn1,María Agüero,MA,Perú Libre,PL,OPCION 4,6341,37,bandeja1,1,0.028943,3.85023,0.109677,0.13,-179.67,-86.3,38,OPCION 4,4.2
6,urn1,Nilza Chacón,NC,Fuerza Popular,FP,INDETERMINADO,6341,39,bandeja1,1,0.071627,4.061928,0.089938,179.97,-0.06,-23.6,39,OPCION 4,4.3
3,urn1,Yorel Alcarraz,YA,Somos Perú,SP,INDETERMINADO,6341,40,bandeja1,1,-0.02796,4.074752,0.083153,-0.1,-22.09,-23.97,40,OPCION 2,4.4
60,urn2,Silvana Robles,SR,Bancada Socialista,BS,OPCION 4,6341,43,bandeja1,1,-0.086735,4.107728,0.106168,-89.96,-0.02,-72.45,41,OPCION 4,4.5
72,urn2,Margot Palacios,MP,No agrupado,NA,INDETERMINADO,6341,41,bandeja1,1,-0.039878,4.134548,0.072949,-0.01,43.91,90.94,42,OPCION 4,4.6
70,urn2,Ana Zegarra,AZ,Somos Perú,SP,INDETERMINADO,6341,42,bandeja1,1,-0.040191,3.950786,0.081742,159.28,-11.88,-0.82,43,OPCION 4,4.7
68,urn2,Jorge Zeballos,JZ,Renovación Popular,RP,INDETERMINADO,6341,44,bandeja1,1,-0.091118,4.042993,0.089941,-0.01,-0.04,-26.54,44,OPCION 2,4.8
67,urn2,Cheryl Trigozo,CT,Renovación Popular,RP,INDETERMINADO,6341,45,bandeja1,1,-0.088124,3.958319,0.086211,89.8,-0.0,84.77,45,OPCION 2,4.9
73,urn2,Hilda Portero,HP,Acción Popular,AP,INDETERMINADO,6341,46,bandeja1,1,-0.049094,4.026581,0.069967,-0.04,-0.03,-24.13,46,OPCION 2,5.0
71,urn2,Luis Aragón,LA,Acción Popular,AP,INDETERMINADO,6341,47,bandeja1,1,0.161403,3.931451,0.084737,-78.62,-12.94,65.26,47,OPCION 2,5.1
66,urn2,Nivardo Tello,NT,Perú Libre,PL,OPCION 4,6341,48,bandeja1,1,0.049652,3.928407,0.089873,-179.91,-0.01,30.46,48,OPCION 4,5.2
65,urn2,María Taipe,MT,Perú Libre,PL,OPCION 4,6341,51,bandeja1,1,-0.019403,4.163292,0.073377,-43.81,3.26,4.34,49,OPCION 4,5.3
61,urn2,Magaly Ruíz,MR,Alianza para el Progreso,APP,INDETERMINADO,6341,49,bandeja1,1,0.012677,4.016612,0.097382,162.54,0.12,50.85,50,OPCION 4,5.4
69,urn2,Carlos Zeballos,CZ,Bloque Democrático Popular,BDP,INDETERMINADO,6341,50,bandeja1,1,-0.036769,3.986169,0.108316,74.72,-19.38,-23.89,51,OPCION 2,5.5
63,urn2,Wilson Soto,WS,Acción Popular,AP,INDETERMINADO,6341,52,bandeja2,1,-0.076154,-3.872751,0.049672,0.08,0.14,30.85,52,OPCION 2,5.6
58,urn2,Tania Ramírez,TR,Fuerza Popular,FP,INDETERMINADO,6341,54,bandeja2,1,-0.12619,-3.973577,0.04995,0.03,-0.06,93.02,53,OPCION 2,5.7
62,urn2,Eduardo Salhuana,ES,Alianza para el Progreso,APP,INDETERMINADO,6341,55,bandeja2,1,0.107478,-3.896506,0.04993,-0.02,-0.06,-47.17,54,OPCION 2,5.8
54,urn2,Kelly Portalatino,KP,Perú Libre,PL,OPCION 4,6341,53,bandeja2,1,0.077402,-4.12749,0.049735,-0.02,0.04,32.58,55,OPCION 4,5.9
55,urn2,Segundo Quiroz,SQ,Alianza para el Progreso,APP,INDETERMINADO,6341,57,bandeja2,1,-0.136208,-4.053647,0.049973,0.06,0.01,-73.26,56,OPCION 2,6.0
57,urn2,Jaime Quito,JQ,Bancada Socialista,BS,OPCION 4,6341,56,bandeja2,1,0.033557,-3.859157,0.049911,-0.0,-0.04,160.01,57,OPCION 4,6.1
59,urn2,Janet Rivas,JR,Perú Libre,PL,OPCION 4,6341,58,bandeja2,1,-0.058016,-4.128932,0.049996,-179.97,-0.09,-36.06,58,OPCION 4,6.2
44,urn2,Leslie Olivos,LO,Fuerza Popular,FP,INDETERMINADO,6341,60,bandeja2,1,0.054957,-4.07948,0.049911,0.04,-0.0,32.62,59,OPCION 2,6.3
64,urn2,Germán Tacuri,GT,Juntos por el Perú,JPP,OPCION 4,6341,59,bandeja2,1,0.137119,-4.018486,0.04986,-0.02,-0.01,5.32,60,OPCION 4,6.4
53,urn2,Luis Picón,LP,Podemos Perú,PP,INDETERMINADO,6341,61,bandeja2,1,-0.048545,-3.917431,0.049973,0.01,-0.0,30.78,61,OPCION 2,6.5
52,urn2,Alfredo Sinche,AS,Bancada Socialista,BS,OPCION 4,6341,62,bandeja2,1,0.132262,-3.9662,0.049791,-0.06,0.06,5.3,62,OPCION 4,6.6
48,urn2,Francis Paredes,FP,Podemos Perú,PP,INDETERMINADO,6341,63,bandeja2,1,0.078102,-3.860901,0.069865,0.06,-0.06,142.57,63,OPCION 4,6.7
50,urn2,Alex Paredes,AP,Somos Perú,SP,INDETERMINADO,6341,64,bandeja2,1,-0.159462,-3.973243,0.067297,146.42,-5.8,84.43,64,OPCION 4,6.8
49,urn2,Karol Paredes,KP,Avanza País,AvP,INDETERMINADO,6341,65,bandeja2,1,-0.145626,-4.050847,0.069948,-0.05,-0.04,91.8,65,OPCION 2,6.9
41,urn2,Juan Mori,JM,Acción Popular,FP,INDETERMINADO,6341,66,bandeja2,1,-0.062111,-3.98501,0.04998,0.01,0.05,3.03,66,OPCION 4,7.0
56,urn2,Wilson Quispe,WQ,Juntos por el Perú,JPP,OPCION 4,6341,69,bandeja2,1,0.148656,-3.983613,0.069845,-0.08,0.06,21.04,67,OPCION 4,7.1
47,urn2,Javier Padilla,JP,Honor y Democracia,HyD,INDETERMINADO,6341,67,bandeja2,1,0.036766,-3.918734,0.049913,0.02,0.02,-18.83,68,OPCION 2,7.2
51,urn2,Susel Paredes,SP,Bloque Democrático Popular,BDP,INDETERMINADO,6341,68,bandeja2,1,0.126142,-4.092199,0.060344,-166.28,20.64,68.33,69,OPCION 4,7.3
29,urn2,Heidy Juárez,HJ,Podemos Perú,PP,INDETERMINADO,6341,70,bandeja2,1,-0.065357,-3.919925,0.069976,-0.06,0.04,44.65,70,OPCION 4,7.4
42,urn2,Martha Moyano,MM,Fuerza Popular,FP,INDETERMINADO,6341,71,bandeja2,1,-0.134917,-3.915379,0.077002,-0.03,120.85,-132.84,71,OPCION 2,7.5
43,urn2,Alejandro Muñante,AM,Renovación Popular,RP,INDETERMINADO,6341,72,bandeja2,1,-0.072193,-4.046263,0.049978,-0.03,0.02,16.9,72,OPCION 4,7.6
40,urn2,Jorge Morante,JM,Somos Perú,SP,INDETERMINADO,6341,73,bandeja2,1,0.090648,-4.007586,0.067965,105.14,0.02,95.37,73,OPCION 2,7.7
34,urn2,José Luna,JL,Podemos Perú,PP,INDETERMINADO,6341,74,bandeja2,1,0.071673,-3.927343,0.069765,-0.17,-0.06,142.28,74,OPCION 4,7.8
45,urn2,Ariana Orué,AO,Podemos Perú,PP,INDETERMINADO,6341,75,bandeja2,1,0.138277,-4.065536,0.075281,11.78,-166.44,-24.59,75,OPCION 2,7.9
37,urn2,Isaac Mita,IM,Perú Libre,PL,OPCION 4,6341,77,bandeja2,1,0.109191,-3.881557,0.089794,-0.04,0.05,-38.01,76,OPCION 4,8.0
46,urn2,Flor Medina,FM,No agrupado,NA,INDETERMINADO,6341,76,bandeja2,1,0.139259,-3.915145,0.069763,0.09,-0.02,120.14,77,OPCION 4,8.1
32,urn2,Juan Lizarzaburu,JL,Alianza para el Progreso,APP,INDETERMINADO,6341,78,bandeja2,1,-0.092911,-4.055976,0.06997,-0.13,-0.01,-88.22,78,OPCION 2,8.2
36,urn2,Elizabeth Medina,EM,Somos Perú,SP,INDETERMINADO,6341,79,bandeja2,1,-0.065853,-4.144883,0.069985,-179.96,-0.22,-30.43,79,OPCION 4,8.3
39,urn2,Jorge Montoya,JM,Honor y Democracia,HyD,INDETERMINADO,6341,80,bandeja2,1,-0.012722,-3.837978,0.069678,0.33,0.24,-175.42,80,OPCION 4,8.4
35,urn2,Pedro Martínez,PM,Acción Popular,AP,OPCION 2,6341,83,bandeja2,1,0.018441,-3.967964,0.049942,-0.06,0.0,-18.78,81,OPCION 2,8.5
28,urn2,María Jáuregui,MJ,Renovación Popular,RP,INDETERMINADO,6341,81,bandeja2,1,-0.00964,-4.114472,0.063448,144.16,0.06,-41.69,82,VICIADO,8.6
26,urn2,Noelia Herrera,NH,Renovación Popular,RP,INDETERMINADO,6341,82,bandeja2,1,-0.096181,-3.988907,0.070016,-0.03,-179.93,-5.57,83,OPCION 2,8.7
17,urn2,Roberto Chiabra,RC,Alianza para el Progreso,APP,INDETERMINADO,6341,84,bandeja2,1,-0.092714,-3.867267,0.069587,179.89,0.07,34.73,84,OPCION 2,8.8
18,urn2,Miguel Ciccia,MC,Renovación Popular,RP,INDETERMINADO,6341,85,bandeja2,1,0.028619,-3.902838,0.083482,143.92,0.05,52.69,85,OPCION 4,8.9
23,urn2,Jhaec Espinoza,JE,Podemos Perú,PP,INDETERMINADO,6341,86,bandeja2,1,-0.087072,-3.895542,0.089885,0.62,-0.05,-133.52,86,OPCION 4,9.0
24,urn2,Diana Gonzáles,DG,Avanza País,AvP,INDETERMINADO,6341,87,bandeja2,1,-0.02978,-4.047314,0.069932,-0.06,0.06,1.82,87,OPCION 4,9.1
33,urn2,Jeny López,JL,Fuerza Popular,FP,INDETERMINADO,6341,88,bandeja2,1,0.074079,-3.935508,0.08974,0.05,-0.17,52.98,88,OPCION 4,9.2
38,urn2,Silvia Monteza,SM,Acción Popular,AP,INDETERMINADO,6341,89,bandeja2,1,0.005003,-4.033081,0.049957,0.01,0.02,6.92,89,OPCION 4,9.3
30,urn2,Elva Julon,EJ,Alianza para el Progreso,APP,INDETERMINADO,6341,90,bandeja2,1,-0.156263,-4.04228,0.093666,0.11,5.89,-78.0,90,VICIADO,9.4
25,urn2,Paul Gutiérrez,PG,Somos Perú,SP,INDETERMINADO,6341,91,bandeja2,1,0.062848,-4.135712,0.069844,-0.06,0.14,-76.35,91,OPCION 4,9.5
20,urn2,Victor Cutipa,VC,Juntos por el Perú,JPP,OPCION 4,6341,94,bandeja2,1,0.011205,-3.886947,0.091034,152.32,-24.19,14.59,92,OPCION 4,9.6
27,urn2,Raúl Huamán,RH,Fuerza Popular,FP,INDETERMINADO,6341,92,bandeja2,1,0.001653,-3.944902,0.086181,-90.06,-0.09,149.22,93,OPCION 2,9.7
16,urn2,Eduardo Castillo,EC,Fuerza Popular,FP,INDETERMINADO,6341,93,bandeja2,1,0.050199,-4.07357,0.069911,0.08,-0.02,13.67,94,OPCION 2,9.8
19,urn2,María Córdova,MC,Renovación Popular,RP,INDETERMINADO,6341,95,bandeja2,1,-0.027613,-3.838122,0.089615,179.7,-0.16,9.93,95,OPCION 2,9.9
