order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
37,urn1,Óscar Zea,OZ,Somos Perú,SP,INDETERMINADO,5531,7,bandeja1,132,-0.062113,4.033034,0.066257,-90.02,0.01,10.04,8,OPCION 4,1.2
30,urn1,Adriana Tudela,AT,Avanza País,AvP,INDETERMINADO,5531,8,bandeja1,132,-0.115356,4.049729,0.072724,-88.86,0.01,-0.35,9,OPCION 4,1.3
28,urn1,Magally Santisteban,MS,Fuerza Popular,FP,INDETERMINADO,5531,9,bandeja1,132,0.11598,4.028289,0.044972,179.87,-0.02,20.85,10,OPCION 4,1.4
23,urn1,Esdras Medina,EM,Renovación Popular,RP,INDETERMINADO,5531,11,bandeja1,132,-0.133867,4.008519,0.086532,-8.23,-31.45,111.77,11,OPCION 4,1.5
24,urn1,Segundo Montalvo,SM,Perú Libre,PL,INDETERMINADO,5531,12,bandeja1,132,-0.109638,3.944509,0.050501,0.01,0.01,18.57,12,OPCION 2,1.6
26,urn1,César Revilla,CR,Fuerza Popular,FP,INDETERMINADO,5531,13,bandeja1,132,0.125598,3.943684,0.050108,-0.7,0.67,-29.51,13,OPCION 2,1.7
29,urn1,Rosio Torres,RT,Alianza para el Progreso,APP,INDETERMINADO,5531,14,bandeja1,132,-0.041937,4.01586,0.053854,89.98,0.01,15.47,14,OPCION 4,1.8
21,urn1,George Málaga,GM,No agrupado,NA,INDETERMINADO,5531,15,bandeja1,132,0.011275,3.961176,0.07769,40.53,13.77,-0.95,15,OPCION 2,1.9
35,urn1,José Williams,JW,Avanza País,AvP,INDETERMINADO,5531,16,bandeja1,132,-0.026605,3.980279,0.062509,-0.26,-3.91,18.94,16,OPCION 4,2.0
20,urn1,Judith Laura,JL,Podemos Perú,PP,INDETERMINADO,5531,17,bandeja1,132,0.075883,4.067567,0.052349,10.15,-2.15,-147.5,17,OPCION 4,2.1
16,urn1,Idelso García,IG,Alianza para el Progreso,APP,INDETERMINADO,5531,18,bandeja1,132,0.029225,4.139198,0.063649,-30.02,-0.36,-12.31,18,OPCION 4,2.2
36,urn1,Norma Yarrow,NY,Renovación Popular,RP,INDETERMINADO,5531,19,bandeja1,132,0.098874,4.091951,0.06493,-9.85,1.4,28.74,19,OPCION 2,2.3
