order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
1,urn1,María Agüero,MA,Perú Libre,PL,OPCION 4,8709,36,bandeja1,1,-0.12366,3.842858,0.069993,0.02,-0.01,59.93,34,OPCION 4,3.8
17,urn1,Nelcy Heidinger,NH,Alianza para el Progreso,APP,INDETERMINADO,8709,33,bandeja1,1,-0.076966,4.085611,0.066246,-90.0,0.01,24.74,35,VICIADO,3.9
4,urn1,Luis Alegría,LA,Fuerza Popular,FP,OPCION 2,8709,38,bandeja1,1,0.033402,4.083295,0.062686,-146.99,0.05,-21.32,36,OPCION 2,4.0
24,urn1,Segundo Montalvo,SM,Perú Libre,PL,INDETERMINADO,8709,35,bandeja1,1,-0.053915,4.073851,0.066246,-90.0,0.01,24.95,37,OPCION 2,4.1
2,urn1,Alejandro Aguinaga,AA,Fuerza Popular,FP,INDETERMINADO,8709,37,bandeja1,1,0.072737,3.861191,0.049993,0.0,0.01,35.42,38,OPCION 4,4.2
3,urn1,Yorel Alcarraz,YA,Somos Perú,SP,INDETERMINADO,8709,39,bandeja1,1,-0.112343,4.022126,0.049984,-0.03,0.02,-116.66,39,OPCION 4,4.3
7,urn1,Luis Cordero,LC,Alianza para el Progreso,APP,INDETERMINADO,8709,40,bandeja1,1,-0.004887,4.01924,0.062615,-147.15,0.03,-21.27,40,OPCION 2,4.4
72,urn2,Margot Palacios,MP,No agrupado,NA,INDETERMINADO,8709,41,bandeja1,1,0.012793,4.051961,0.062667,-146.92,-0.0,-21.19,41,OPCION 4,4.5
69,urn2,Carlos Zeballos,CZ,Bloque Democrático Popular,BDP,INDETERMINADO,8709,42,bandeja1,1,-0.03656,3.838893,0.069971,-0.09,-0.01,25.45,42,OPCION 4,4.6
71,urn2,Luis Aragón,LA,Acción Popular,AP,INDETERMINADO,8709,43,bandeja1,1,0.151226,3.947666,0.069991,-0.01,-0.02,151.52,43,OPCION 4,4.7
68,urn2,Jorge Zeballos,JZ,Renovación Popular,RP,INDETERMINADO,8709,44,bandeja1,1,0.078121,4.010461,0.049907,179.97,0.14,65.89,44,OPCION 2,4.8
67,urn2,Cheryl Trigozo,CT,Renovación Popular,RP,INDETERMINADO,8709,45,bandeja1,1,-0.031206,3.971823,0.049943,-0.0,-0.0,-21.3,45,OPCION 2,4.9
73,urn2,Hilda Portero,HP,Acción Popular,AP,INDETERMINADO,8709,46,bandeja1,1,-0.069332,3.930336,0.04998,-0.01,0.01,-21.31,46,OPCION 2,5.0
63,urn2,Wilson Soto,WS,Acción Popular,AP,INDETERMINADO,8709,48,bandeja1,1,-0.086193,3.894761,0.069985,0.05,0.05,-29.7,47,OPCION 2,5.1
66,urn2,Nivardo Tello,NT,Perú Libre,PL,OPCION 4,8709,47,bandeja1,1,-0.098808,3.854254,0.089975,-0.0,0.03,-11.25,48,OPCION 4,5.2
64,urn2,Germán Tacuri,GT,Juntos por el Perú,JPP,OPCION 4,8709,49,bandeja1,1,0.110898,4.006428,0.069995,180.0,-0.0,36.4,49,OPCION 4,5.3
65,urn2,María Taipe,MT,Perú Libre,PL,OPCION 4,8709,51,bandeja1,1,0.020684,3.944796,0.069968,-0.07,-0.01,-23.91,50,OPCION 4,5.4
70,urn2,Ana Zegarra,AZ,Somos Perú,SP,INDETERMINADO,8709,50,bandeja1,1,0.015644,3.906438,0.05,-0.04,0.01,-2.93,51,OPCION 2,5.5
62,urn2,Eduardo Salhuana,ES,Alianza para el Progreso,APP,INDETERMINADO,8709,52,bandeja2,1,-0.124509,-4.131257,0.049993,0.03,0.0,-11.08,52,OPCION 2,5.6
